year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2001,1,1017.6,1018.4,1029.4,1006.6,17.5,27.9,10.4,13.4,2.7,90,15.9,120,203.6,151.9,14,7.5,16,53.2,78,47.9,117.9,187.94,4,6,7.6
2001,2,1017.2,1018,1027.5,1005.1,18.1,30.3,11.5,14.1,2.9,90,16.3,140,24.7,91.9,9,1,3.5,7.7,79,48.5,97.7,170.33,4,9,7.2
2001,3,1015.3,1016.1,1026.7,1002.9,19.1,32.2,11.6,13.9,2.4,90,19.7,200,174.1,165.2,18,3.8,13,46.3,74,74.6,127.1,243.79,5,9,7.3
2001,4,1012.4,1013.1,1020.6,1001.4,21.9,33.6,14.6,18.2,2.3,90,14.9,110,177,132.8,20,9,13,40.5,80,61,65.4,201.51,5,11,9
2001,5,1007.5,1008.2,1013.9,1000.1,25.4,35,19.9,21.7,2.7,90,16.6,140,127.1,162.9,19,8.5,12.7,32.8,81,79.5,80,258.48,7,12,8.7
2001,6,1005.8,1006.6,1014.8,995.8,28.5,37.8,20.7,23.3,2.2,180,19.5,180,105.9,42.9,16,10.5,17.4,19.5,74,119.5,150,361.9,9,14,7.4
2001,7,1004.6,1005.3,1010.4,991.2,29.5,37.1,23.7,24.1,2.5,170,21.3,190,263.3,80.1,15,17.5,46,57.5,74,135.8,166.6,366.97,9,13,7
2002,1,1020.4,1021.2,1028.8,1009,16.1,27.7,9.3,11.9,2.5,90,14.9,130,65.2,98.9,11,1.5,3.7,24.5,77,51.2,118.4,156.5,3,4,6.8
2002,2,1020.4,1021.2,1030.6,1012.2,17.8,28.5,12,13.4,2.7,90,15.7,120,58.3,70.2,9,2,4.5,29.7,77,66.3,105.1,183.6,4,8,7.6
2002,3,1015.2,1015.9,1024.8,1005.9,21.1,31.8,13.3,16.4,2.5,90,15.4,170,130.7,91.3,12,7,14,41,76,78.7,125,227.15,5,10,7.7
2002,4,1012.8,1013.5,1019.8,1007.7,23.8,33.7,16.3,20,2.6,90,16.1,140,29.6,36.3,9,2.5,5.3,13.8,80,90.1,129.2,281.26,6,12,7.8
2002,5,1008.8,1009.5,1014.2,1000.8,26.6,36.5,19.9,21.4,2.5,90,18.2,360,92.8,49.8,8,7,11.5,43.5,75,122.1,146.8,330.62,7,11,7.2
2002,6,1006,1006.7,1011.3,1000.8,28.6,36.7,23.8,24.3,2.4,90,14.7,110,154.2,42,11,12.5,27,50.6,79,128.7,142.2,338.14,8,11,7.4
2002,7,1002.2,1002.9,1010.6,988.9,29.6,36.8,25,24.5,2.4,170,22.2,360,314.1,97,13,19,51,85.5,75,132,186.7,365.62,9,14,6.9
2003,1,1021.2,1022,1033.2,1010.3,16.2,26.9,8.7,10.7,3.1,90,15.8,140,72.9,45.5,9,8.5,12.4,29.8,71,62.8,136.8,284.48,3,4,6.9
2003,2,1018.9,1019.7,1029.4,1010,17.6,29.6,11,13.5,2.6,90,16.5,120,20.2,36.2,8,1.2,2,5.7,78,55.8,101.3,269.32,3,5,7.8
2003,3,1017.6,1018.4,1026.8,1007.3,18.2,30.5,11.4,14,2.9,90,16.3,180,86.2,104.3,13,2.4,4.5,17.8,78,65.6,90.5,279.68,3,7,8.4
2003,4,1012.2,1012.9,1019.4,1001.6,23.6,34,15.6,19.5,2.8,90,17.3,130,132.8,94.7,13,12,24.5,62.7,79,87.6,120,371.2,6,11,7.8
2003,5,1008.6,1009.3,1017.5,1000.2,25.1,36.2,19.3,20.8,2.7,90,16,140,88.8,67.2,9,4.2,8.5,28.2,78,100.5,112.6,397.2,6,10,8
2003,6,1005.8,1006.5,1011.3,998.8,27.4,37.4,20.5,23.1,2.3,90,15.7,320,201.1,90.9,15,14.5,47.5,63,79,92.6,127.7,431.45,6,10,7.8
2003,7,1007.6,1008.3,1012.5,1002.3,30.8,37.8,24.7,25.1,2,170,19.1,170,83,15.9,9,11,36.5,37,73,157,206.3,557.39,6,9,6.4
2004,1,1020.5,1021.3,1028.2,1012.4,15.4,27,6.8,11.1,1.9,90,14.8,120,121,144,15,2,6,31,77,52.4,70.8,175.45,3,5,8.4
